course,miles.to.school,major,school.work.hours,credit.hours,school.materials.dollars,jobs,salary,activity,height,emails,text,os,gaming,gaming.hours,social,social.time,states,us.home,gender,subject,ereader,books,biography
campus,1,Civil or CEM,24,14,213,0,36000,120,62.99,15,2,iOS,nothing. I don't play video games.,0,TRUE,180,7,FALSE,Female,Math,TRUE,7,Lebron James
campus,6,Industrial Engineering,20,16,500,2,50000,180,60,5,70,iOS,nothing. I don't play video games.,0,TRUE,5,3,FALSE,Female,Math,TRUE,15,Lebron James
campus,0.5,Computer Science,20,16,150,0,10000,350,66,3,10,iOS,phone,0,TRUE,0,2,FALSE,Female,Math,TRUE,0,Dalai Lama
campus,980,Industrial Engineering,30,19,300,0,2000,30,64,10,10,iOS,nothing. I don't play video games.,1,TRUE,60,0,FALSE,Female,Math,TRUE,10,Neil deGrasse Tyson
online,1,Computer Science,20,12,5,4,80000,15,67,13,4,Android,computer,20,TRUE,30,20,TRUE,Male,Writing,FALSE,2,Dalai Lama
campus,0.8,Other,20,12,300,5,136000,120,74,18,123,Android,gaming console,3,TRUE,180,18,TRUE,Male,Writing,FALSE,0,Dalai Lama
campus,2,Computer Science,18,13,200,3,80000,50,69,6,35,iOS,computer,8,TRUE,2,13,TRUE,Male,Writing,FALSE,0,Elon Musk
online,1,Computer Science,5,13,100,3,80000,50,69,6,85,iOS,gaming console,6,FALSE,0,13,TRUE,Male,Writing,FALSE,0,Elon Musk
campus,0.6,Industrial Engineering,8,17,0,2,50000,50,70,5,750,iOS,phone,0,TRUE,60,25,FALSE,Male,Writing,FALSE,10,Elon Musk
online,15,Computer Science,50,15,150,2,90000,60,72,15,3,Android,computer,5,TRUE,30,5,FALSE,Male,Writing,FALSE,5,Elon Musk
online,3,Civil or CEM,16,13,450,4,60000,130,76,24,200,iOS,gaming console,4,TRUE,200,40,TRUE,Male,Math,FALSE,2,Neil deGrasse Tyson
campus,1,Computer Science,16,9,200,2,85000,0,71,6,3,iOS,computer,6,TRUE,30,35,TRUE,Male,Math,FALSE,1,Elon Musk
campus,0.9,Computer Science,5,14,50,4,75000,50,70,8,50,Android,computer,1,TRUE,90,31,TRUE,Male,Math,FALSE,2,Elon Musk
campus,1,Civil or CEM,25,15,600,3,60000,80,74,7,20,iOS,computer,10,TRUE,45,29,TRUE,Male,Math,FALSE,3,Elon Musk
campus,1,Mechanical Engineering,23,15,200,0,70000,35,66,6,8,iOS,gaming console,0,TRUE,180,23,TRUE,Male,Math,FALSE,0,Elon Musk
campus,1360,Civil or CEM,30,16,350,1,50000,120,72,4,20,iOS,computer,2,TRUE,60,20,TRUE,Male,Math,FALSE,10,Dalai Lama
campus,0.4,Civil or CEM,20,12,300,2,50000,50,71,8,20,Android,computer,1,TRUE,60,20,TRUE,Male,Math,FALSE,1,Neil deGrasse Tyson
campus,2.1,Mechanical Engineering,14,13,300,2,65000,30,70,4,30,Android,gaming console,2,TRUE,30,20,TRUE,Male,Math,FALSE,0,Elon Musk
online,1,Civil or CEM,25,15,350,2,60000,30,70,12,45,Android,gaming console,8,TRUE,15,20,TRUE,Male,Math,FALSE,0,Lebron James
campus,12,Computer Science,13,15,600,2,50000,130,70,50,0,Android,computer,0,TRUE,15,20,TRUE,Male,Math,FALSE,10,Dalai Lama
online,126,Mechanical Engineering,20,12,500,8,120000,60,72.5,4,2,iOS,computer,0,TRUE,1,20,TRUE,Male,Math,FALSE,5,Elon Musk
campus,3.5,Computer Science,32,16,450,5,50000,0,74,5,15,Android,phone,0,TRUE,60,18,TRUE,Male,Math,FALSE,1,Elon Musk
campus,1,Computer Science,40,14,90,5,60000,40,68,29,250,iOS,phone,1,TRUE,60,15,TRUE,Male,Math,FALSE,2,Elon Musk
online,1.9,Computer Science,40,10,20,2,60000,90,67,3,40,Android,nothing. I don't play video games.,0,TRUE,60,15,TRUE,Male,Math,FALSE,2,Elon Musk
campus,0.2,Mechanical Engineering,15,16,200,3,60000,20,67,10,32,Android,computer,2,TRUE,10,15,TRUE,Male,Math,FALSE,4,Dalai Lama
online,1,Mechanical Engineering,15,17,200,5,73000,45,71,20,50,Android,computer,15,TRUE,0,15,TRUE,Male,Math,FALSE,0,Elon Musk
online,0.25,Civil or CEM,25,16,500,4,60000,20,70.5,10,36,Android,nothing. I don't play video games.,0,TRUE,90,12,TRUE,Male,Math,FALSE,2,Elon Musk
online,50,Civil or CEM,10,15,500,6,58000,60,70,3,25,iOS,nothing. I don't play video games.,0,TRUE,60,10,TRUE,Male,Math,FALSE,5,Elon Musk
campus,0.5,Mechanical Engineering,4.5,12,250,1,60000,30,67,10,23,iOS,computer,7,TRUE,30,10,TRUE,Male,Math,FALSE,20,Neil deGrasse Tyson
online,0.3,Mechanical Engineering,14,14,200,2,45000,90,71,15,50,Android,nothing. I don't play video games.,0,TRUE,1,10,TRUE,Male,Math,FALSE,1,Neil deGrasse Tyson
campus,24.4,Computer Science,8,12,300,8,36000,90,68,6,16,iOS,computer,6,TRUE,60,9,TRUE,Male,Math,FALSE,6,Elon Musk
campus,1,Mechanical Engineering,20,14,200,2,60000,10,68,1,20,iOS,computer,20,FALSE,0,8,TRUE,Male,Math,FALSE,24,Elon Musk
campus,0.8,Mechanical Engineering,25,19,300,1,80000,60,73,8,120,iOS,gaming console,1,TRUE,15,7,TRUE,Male,Math,FALSE,0,Elon Musk
campus,0.4,Mechanical Engineering,30,13,178,1,53000,30,68,9,2,Android,computer,0,TRUE,15,7,TRUE,Male,Math,FALSE,1,Neil deGrasse Tyson
online,85,Computer Science,4,7,90,4,70000,60,71,7,35,Android,computer,0,TRUE,5,7,TRUE,Male,Math,FALSE,0,Elon Musk
online,2.2,Computer Science,28,14,200,2,60000,60,70,63,4,iOS,computer,0,TRUE,120,6,TRUE,Male,Math,FALSE,1,Ruth Bader Ginsburg
campus,0.5,Mechanical Engineering,35,17,350,3,40000,35,74,12,2,Android,computer,30,TRUE,30,6,TRUE,Male,Math,FALSE,2,Elon Musk
campus,5,Mechanical Engineering,25,15,500,6,50000,60,71,15,0,Android,computer,3,TRUE,10,4,TRUE,Male,Math,FALSE,15,Dalai Lama
online,0.2,Civil or CEM,8,16,50,2,60000,120,68,12,50,iOS,phone,0.5,TRUE,2,3,TRUE,Male,Math,FALSE,1,Lebron James
campus,2.6,Computer Science,12,10,3300,0,60000,30,69,6,2,iOS,computer,7,TRUE,5,12,FALSE,Male,Math,FALSE,5,Elon Musk
campus,0.9,Mechanical Engineering,20,15,240,0,40000,60,68,6,0,iOS,gaming console,0,TRUE,5,11,FALSE,Male,Math,FALSE,1,Neil deGrasse Tyson
online,1.1,Computer Science,30,15,300,1,80000,360,72,4,40,iOS,nothing. I don't play video games.,0,TRUE,20,10,FALSE,Male,Math,FALSE,1,Elon Musk
campus,1.5,Mechanical Engineering,30,14,400,0,120000,180,70,13,50,iOS,computer,0,TRUE,30,7,FALSE,Male,Math,FALSE,3,Elon Musk
campus,2,Computer Science,30,13,200,1,100000,90,65,20,1,Android,computer,2,TRUE,60,6,FALSE,Male,Math,FALSE,1,Elon Musk
campus,1,Mechanical Engineering,5,13,50,0,98630,120,68,13,5,iOS,phone,1,TRUE,120,5,FALSE,Male,Math,FALSE,2,Lebron James
online,1.1,Computer Science,18,16,66,1,50000,150,68,12,60,Android,gaming console,16,TRUE,180,3,FALSE,Male,Math,FALSE,2,Elon Musk
campus,1.1,Computer Science,24,14,200,2,60000,30,67,6,20,iOS,computer,14,TRUE,15,3,FALSE,Male,Math,FALSE,3,Elon Musk
campus,1,Computer Science,8,14,150,1,50000,120,72,67.7,0,iOS,computer,42,TRUE,10,3,FALSE,Male,Math,FALSE,1,Lebron James
campus,3,Computer Science,25,16,100,0,40000,30,69,2,0,iOS,computer,5,TRUE,0,3,FALSE,Male,Math,FALSE,2,Lebron James
campus,1,Computer Science,20,15,200,3,60000,60,64,10,20,Android,computer,10,TRUE,60,15,TRUE,Female,Math,FALSE,2,Neil deGrasse Tyson
campus,0.8,Computer Science,7,14,140,1,60000,30,64,20,10,iOS,phone,1,TRUE,45,12,TRUE,Female,Math,FALSE,1,Elon Musk
campus,0.6,Computer Science,30,13,28,5,70000,15,66,64,24,iOS,phone,1,TRUE,180,11,TRUE,Female,Math,FALSE,1,Ruth Bader Ginsburg
campus,907,Mechanical Engineering,30,17,100,1,55000,60,65,15,25,Android,nothing. I don't play video games.,0,TRUE,120,11,TRUE,Female,Math,FALSE,13,Ruth Bader Ginsburg
